Date,history1,history2,history3,history4
2015-06-26,10051.75965,9355.688352,9593.120949,9585.458261
2015-06-27,10015.7617,9263.336612,9544.840992,9537.064615
2015-06-28,9924.327864,9341.788388,9728.1961,9720.403786
2015-06-29,10173.3793,9416.128268,9766.946034,9759.251535
2015-06-30,10228.86573,9239.063859,9987.325634,9979.712028
2015-07-01,10287.82254,9341.83661,10132.49993,10125.15481
2015-07-02,10240.47063,9136.690689,10112.69346,10105.43159
2015-07-03,10206.60528,9186.628266,10131.55356,10125.22143
2015-07-04,10376.19294,9039.572164,10176.02964,10169.83583
2015-07-05,10550.10524,9103.899415,10287.32224,10281.14473
2015-07-06,10563.72224,9273.666198,10351.15025,10345.2798
2015-07-07,10573.44854,9113.759699,10313.99254,10308.02617
2015-07-08,10773.96224,9134.935641,10220.42347,10214.16336
2015-07-09,10720.0007,8958.063641,10476.86294,10470.82213
2015-07-10,10748.52839,8823.291285,10534.45651,10528.47453
2015-07-11,10785.79886,9318.203484,10594.77909,10588.93357
2015-07-12,10861.98379,9271.514963,10545.65916,10539.72788
2015-07-13,10890.55154,9085.576139,10512.03719,10505.15871
2015-07-14,10879.40166,9074.020103,10686.30091,10679.52925
2015-07-15,10815.6834,9072.361589,10863.69994,10857.69711
2015-07-16,10714.36609,8784.393964,10878.06587,10872.16192
2015-07-17,10715.74956,8572.439128,10887.25427,10881.55207
2015-07-18,10694.83247,8538.019759,11092.3381,11086.86505
2015-07-19,10610.43611,8608.286836,11036.5314,11030.67396
2015-07-20,10417.16308,8489.969691,11066.12743,11060.42922
2015-07-21,10542.13746,8613.306563,11105.07882,11099.69228
2015-07-22,10502.6923,8887.705158,11182.74301,11177.25296
2015-07-23,10611.44836,9029.484435,11212.07644,11206.93543
2015-07-24,10632.19864,8965.404375,11200.53246,11195.44285
2015-07-25,10691.53024,8974.674487,11135.19379,11129.72066
2015-07-26,10693.08493,9131.289696,11031.34399,11025.53755
2015-07-27,10705.28884,8968.26296,11033.1255,11027.60089
2015-07-28,10671.96637,8991.625305,11012.32443,11006.42529
2015-07-29,10673.87811,9071.318486,10925.7183,10919.45169
2015-07-30,10670.24549,9081.328512,10727.43295,10721.28076
2015-07-31,10714.44776,9083.700175,10855.31304,10849.69381
2015-08-01,10635.836,9057.77547,10814.79342,10809.12099
2015-08-02,10500.74886,9301.685151,10926.07337,10920.2326
2015-08-03,10715.94812,9334.285764,10947.18919,10941.21572
2015-08-04,10619.8086,9319.906955,11007.75441,11001.97004
2015-08-05,10606.41183,9407.269092,11009.40078,11003.63815
2015-08-06,10447.46163,9364.188238,11022.01705,11016.07959
2015-08-07,10487.34709,9218.278426,10987.62109,10981.61683
2015-08-08,10328.46038,9322.68551,10989.75448,10983.79391
2015-08-09,10409.32241,9320.912121,10985.5871,10979.87511
2015-08-10,10462.52003,9494.598267,11031.36478,11025.48377
2015-08-11,10629.69835,9497.823256,10949.9527,10943.8744
2015-08-12,10509.97776,9507.779524,10811.28235,10805.0938
2015-08-13,10288.58051,9653.920721,11031.74841,11025.76253
2015-08-14,10332.54165,9753.657918,10932.69322,10926.82903
2015-08-15,10414.03334,9887.248768,10919.79337,10913.90006
2015-08-16,10501.08332,9922.393628,10756.57262,10750.75924
2015-08-17,10460.40215,9907.066151,10797.62759,10791.93954
2015-08-18,10409.83905,9833.226421,10636.24515,10630.43182
2015-08-19,10511.62864,9815.633681,10719.32838,10713.57648
2015-08-20,10427.33719,9822.742748,10774.16373,10768.79407
2015-08-21,10334.96445,9977.65803,10946.2535,10940.89439
2015-08-22,10169.79818,10040.60516,10823.82013,10818.30634
2015-08-23,10240.38146,10024.55921,10596.32608,10590.75281
2015-08-24,10009.31054,10029.4686,10641.12074,10635.38977
2015-08-25,9744.61586,10093.1346,10725.32257,10719.66351
2015-08-26,9647.588415,10017.04251,10814.63721,10808.96059
2015-08-27,9729.242022,10121.56918,10773.12136,10767.48222
2015-08-28,9808.086848,9983.249489,10721.37026,10715.57816
2015-08-29,9622.085907,10045.51065,10826.06184,10820.53891
2015-08-30,9730.56921,10089.19003,10739.76819,10733.85597
2015-08-31,9514.265777,10198.67503,10645.03534,10639.0542
2015-09-01,9565.677027,10316.19178,10475.89475,10469.6854
2015-09-02,9413.733303,10297.28205,10548.45834,10542.56052
2015-09-03,9481.180807,10197.0569,10309.67602,10302.76641
2015-09-04,9654.662236,10202.72111,10038.66484,10031.61364
2015-09-05,9490.444733,10205.65036,9939.183686,9931.960042
2015-09-06,9512.74938,10324.85731,10023.45883,10015.78388
2015-09-07,9329.701505,10197.12776,10103.8643,10096.57636
2015-09-08,9185.496257,10124.39421,9913.003378,9905.566899
2015-09-09,9707.790899,10032.85893,10024.49489,10017.07501
2015-09-10,9659.068307,10034.54209,9802.299201,9794.86516
2015-09-11,9465.164435,9893.68554,9855.683713,9848.293191
2015-09-12,9452.256966,9672.620492,9698.766647,9691.35442
2015-09-13,9451.468437,9655.205368,9767.813027,9760.710976
2015-09-14,9154.12166,9723.36161,9946.554235,9939.252209
2015-09-15,8932.76365,9650.335011,9777.304162,9770.177771
2015-09-16,8898.265082,9597.78385,9800.245603,9793.105396
2015-09-17,8972.228334,9668.288083,9612.876975,9605.668785
2015-09-18,8847.821757,9680.368525,9464.798296,9457.351996
2015-09-19,8976.6651,9704.812798,10003.59487,9996.477166
2015-09-20,9263.093118,9830.872818,9953.615899,9946.667914
2015-09-21,9409.912132,9757.052803,9754.027667,9746.650734
2015-09-22,9343.523701,9799.057445,9740.56921,9733.282723
2015-09-23,9353.10514,9755.91867,9739.476777,9732.347856
2015-09-24,9516.723876,9916.986775,9433.363646,9426.449757
2015-09-25,9346.897998,9839.840201,9205.371834,9197.989974
2015-09-26,9370.243061,9932.563834,9169.418006,9162.33044
2015-09-27,9453.003318,9843.663965,9245.606733,9238.616772
2015-09-28,9462.847447,9926.933973,9118.021586,9110.920149
2015-09-29,9465.454192,9928.292282,9250.584781,9243.486987
2015-09-30,9439.814557,10194.0598,9545.23115,9538.839273
2015-10-01,9694.074584,10105.14752,9696.793538,9690.404218
2015-10-02,9728.182866,10184.58758,9628.575609,9622.100161
2015-10-03,9713.049035,10264.70961,9638.269916,9631.786586
2015-10-04,9805.070917,10241.38192,9806.75284,9800.087458
2015-10-05,9759.111754,10122.2517,9632.0301,9624.763479
2015-10-06,9607.407248,10148.21783,9655.920553,9648.565739
2015-10-07,9716.562155,10108.83047,9741.0177,9733.644262
2015-10-08,9714.754552,10223.4849,9751.328532,9743.741762
2015-10-09,9897.78661,10221.55497,9754.045547,9746.374702
2015-10-10,9900.798369,10256.3545,9727.22602,9719.656097
2015-10-11,9910.721142,10224.87197,9988.685195,9981.182751
2015-10-12,10063.78553,10091.98511,10023.90198,10016.18203
2015-10-13,10168.48665,9985.481886,10008.17385,10000.41136
2015-10-14,10307.70173,10049.92134,10103.07176,10095.20368
2015-10-15,10345.39191,10069.25916,10056.05332,10048.19964
2015-10-16,10328.59146,10070.65057,9899.931375,9891.794711
2015-10-17,10252.82369,9953.853717,10012.40925,10004.44027
2015-10-18,10234.88993,10061.32149,10010.70528,10002.62616
2015-10-19,10242.78464,10146.7489,10198.8599,10190.83166
2015-10-20,10404.80627,10001.50623,10202.27092,10194.16497
2015-10-21,10470.43111,10117.94518,10212.60158,10204.64227
2015-10-22,10453.73045,9789.2047,10370.32119,10362.17512
2015-10-23,10459.31305,9629.244426,10478.30297,10470.27607
2015-10-24,10525.95863,9828.753025,10621.58691,10613.65119
2015-10-25,10445.95912,10020.23254,10660.07149,10652.48834
2015-10-26,10555.80527,10044.20041,10642.8433,10635.14615
2015-10-27,10412.25215,10052.25915,10564.79291,10556.74243
2015-10-28,10478.63559,10004.03805,10546.35303,10538.1206
2015-10-29,10525.23488,10052.62517,10554.54782,10546.44362
2015-10-30,10640.33047,10082.93396,10721.13572,10713.36595
2015-10-31,10762.69088,10187.19101,10788.04616,10780.27041
2015-11-01,10743.76416,10287.43579,10770.98807,10763.16598
2015-11-02,10639.4649,10294.57488,10776.51433,10768.47085
2015-11-03,10645.7985,10197.15553,10845.73217,10837.82364
2015-11-04,10648.82633,10305.03258,10763.6819,10755.57936
2015-11-05,10774.26415,10300.21487,10876.38541,10868.26644
2015-11-06,10641.31388,10362.59234,10728.82051,10720.7291
2015-11-07,10565.46537,10372.54263,10797.60661,10789.36287
2015-11-08,10467.33707,10446.20071,10845.6515,10837.21352
2015-11-09,10469.63682,10352.26165,10964.2424,10955.49591
2015-11-10,10324.30836,10410.52099,11089.84792,11081.24015
2015-11-11,10093.3069,10305.7434,11070.06129,11061.36969
2015-11-12,10075.17208,10323.58418,10963.07103,10954.58396
2015-11-13,10147.24794,10439.55618,10969.81043,10961.19705
2015-11-14,10068.89053,10503.40364,10973.07956,10964.28684
2015-11-15,10014.91588,10608.0503,11102.59078,11093.69636
2015-11-16,10089.84406,10633.40772,10965.57944,10956.43654
