,history
614,15042.605319526165
615,14833.494311794482
616,14839.129698710856
617,14767.306127294298
618,14899.447417605586
619,14775.727216442574
620,14860.719578535778
621,14959.274989945117
622,15057.111452713307
623,15258.857918999769
624,15299.134641681152
625,15428.794418766418
626,15425.041505712434
627,15536.908751638714
628,15579.913765834039
629,15570.954075853573
630,15570.012559889252
631,15599.850830406742
632,15555.737808974423
633,15718.063325012681
634,15588.850974990197
635,15622.09691839289
636,15557.034822148362
637,15571.006491970436
638,15588.71473387679
639,15630.607691064319
640,15656.468084982009
641,15804.634049512724
642,15835.101581340896
643,15823.376278520067
644,15433.191970220945
645,15516.049347974256
646,15690.96236524884
647,15794.820499810432
648,15884.649806745105
649,15805.978639093864
650,15843.580602340398
651,15875.542861987855
652,16106.090642512674
653,16118.286710674107
654,16030.599523808123
655,16023.279796569193
656,15996.390460463977
657,16028.38019082926
658,16188.461207494613
659,16276.948999897655
660,16269.589972143975
661,16161.072250114788
662,16112.047625530055
663,16187.142789509435
664,16144.73895405805
665,16364.660951697593
666,16349.509888713012
667,16354.981077987964
668,16152.117585578975
669,16193.404964191055
670,16232.809521319454
671,16190.249668419401
672,15971.296371140897
673,15866.268814492694
674,15834.35369365319
675,15525.741139352931
676,15507.281108250294
677,15627.23134213297
678,15622.498320213575
679,15787.69312731067
680,15770.14296290556
681,15907.608812720591
682,15873.840721024519
683,15915.327984497822
684,15947.21524390069
685,16013.873660308604
686,16018.153295802986
687,16081.771502337704
688,15970.665318589517
689,16005.757633607556
690,16034.192653579352
691,15960.682647434534
692,16124.289742466903
693,16403.02251263455
694,16480.795189930435
695,16333.199154398742
696,16368.522682880983
697,16245.867527074308
698,16365.992243216417
699,16659.39216980224
700,16903.53700850965
701,17393.602896016582
702,17402.849787010095
703,17603.81777549578
704,17684.86881364783
705,17863.89835203408
706,17900.27059998322
707,18058.165230004157
708,17874.37250664473
709,17895.648783526496
710,17837.054955120515
711,17716.953342916408
712,17577.890503434974
713,17804.692320302118
714,17782.85990964579
715,17898.506950847746
716,18065.806973488154
717,18067.56387715515
718,18175.93961184386
719,18117.379394568616
720,18098.909421415414
721,17656.006055042904
722,17697.58734592489
723,17500.786093814342
724,17176.75564936221
725,17149.036956105832
726,17258.844564542767
727,17388.188008824665
728,17434.14684859271
729,17481.127955437198
730,17315.244335127096
731,17448.691833517063
732,17302.04174415915
733,17452.60737088404
734,17552.76697760971
735,17407.13667381105
736,17392.55529683804
737,17494.164073084798
738,17542.720087923317
739,17326.454882111688
740,17361.02960645474
741,17363.111375971945
